logtime,food
2023-05-04 12:53:00,Stiffed myself a little bit
2023-05-04 12:55:00,12:55 done
2023-05-04 18:44:00,"6:12 rice, pappu kaya bowl, utappam, 2 small bowls of bujiya, chana jhor, curd rice, pickle, plantain chips"
2023-05-04 18:44:00,Mood: stressed out about job
2023-05-04 18:49:00,20 plantain chips
2023-05-04 18:49:00,Done
2023-05-05 11:00:00,"10:15 2 bowls cereals milk, almond 1 cup of overnight oats, maple syrup, 1 cup chai"
2023-05-05 11:00:00,Done at 10:50
2023-05-05 11:05:00,2 rusks with above chai
2023-05-05 13:29:00,"1:10 pm rice,  palak dal, vankaya aloo curry,  curd rice, cucumbers salad small,"
2023-05-05 13:30:00,"1:25pm two bowls of raisins and walnuts, almonds"
2023-05-05 14:31:00,2:30 pm sweet saunf
2023-05-05 17:16:00,4:55 avocado toast 2 cheese slices
2023-05-05 17:16:00,Chai Sweet plantain chips Crackers Blueberries
2023-05-05 17:16:00,Done
2023-05-05 18:46:00,Mood: feeling low
2023-05-06 09:54:00,"9:30 am avocado toast,  spinach, large avocado, sourdough bread, zoug, NO cheese 1 date, walnuts"
2023-05-06 09:55:00,"9:45 am chai, 2 cookies, 1 rusk"
2023-05-06 09:55:00,Done
2023-05-06 11:36:00,11:15 1 cup coconut water
2023-05-06 11:36:00,11:40 cappuccino
2023-05-06 12:25:00,"12:15 1.5 utappam, 1/ bread and vankaya aloo curry"
2023-05-06 13:00:00,12:30 plum
2023-05-06 15:04:00,https://www.levelshealth.com/blog/what-is-postprandial-blood-sugar-and-why-does-it-matter
2023-05-06 15:08:00,https://www.veri.co/learn/biphasic-curve-metabolic-health
2023-05-06 16:20:00,4:15 2 slices pizza
2023-05-06 18:04:00,"5:50pm chai (arpana, anish home) Pani puri aloo"
2023-05-06 18:04:00,6:04 done
2023-05-06 18:08:00,5:58 Samosa and chutney
2023-05-06 21:33:00,9:10 2 puris aloo curry Pickle rice aloo curry
2023-05-06 21:33:00,Done
2023-05-07 13:04:00,1 pm chole. Saag and rice (shira aunty)
2023-05-07 13:28:00,"1 Roti, kadi, 1/2 parantha, 1 puri, shira,"
2023-05-07 13:33:00,Done
2023-05-07 13:42:00,1:40 small bowl saag and rice
2023-05-07 15:12:00,3:12 sweet saunf
2023-05-07 15:36:00,Sweet saunf 6 fistfuls
2023-05-07 16:00:00,1 glass coconut water
2023-05-07 18:39:00,6:10 avocado toast 1.5 Aloo bujiya 1 small bowl 2 cucumbers 2 small bowls cereals and milk
2023-05-08 11:41:00,9:38 am chai 11:41 am cappuccino
2023-05-08 13:16:00,"12:40 rice, gangavallipappu, urad papad, curd, cucumber salad 1pm done"
2023-05-08 13:16:00,1:15 sweet saunf
2023-05-08 13:19:00,2 fists
2023-05-08 15:28:00,Andreas cgm companies  January.ai Levels Super satience
2023-05-08 15:29:00,Levelshealth
2023-05-08 15:29:00,Nutrisense
2023-05-08 16:43:00,4:20 pm Blueberry 2 cups Walnuts raisins Pumpkin seeds 2 cucumbers Carrot and nutzo
2023-05-09 08:43:00,"8:20 am chai Avocado toast, cucumber Cheese and crackers 2 fistfuls Walnuts and raisins 9:40 am done"
2023-05-09 11:26:00,11:26 am protein shake 2 scoops
2023-05-09 11:28:00,Done
2023-05-09 11:35:00,11:35 am cappuccino
2023-05-09 11:39:00,Done
2023-05-09 12:39:00,12:30 veg broth
2023-05-09 12:39:00,1 bowl
2023-05-09 13:17:00,1:17 stir fry rice
2023-05-09 13:34:00,1:30 done
2023-05-09 15:47:00,3:46pm chocolate orange
2023-05-09 16:04:00,"4 pm 3 chocolates, 4 fistfuls of walnuts almonds and raisins"
2023-05-09 18:13:00,5:55 pm 1 utappam and humus 1 large bowl curd rice and chana jhor 2 spoons of psyllium husk and water 6:10 done
2023-05-10 08:01:00,8am black coffee
2023-05-10 08:52:00,8:51 chai 1 rusk
2023-05-10 08:56:00,Done
2023-05-10 09:46:00,Poor sleep only 5 hours
2023-05-10 09:48:00,1/2 utappam hummus
2023-05-10 09:51:00,Done
2023-05-10 10:51:00,10:52 am black coffee and milk 1/4 cup
2023-05-10 10:51:00,For mendel interview
2023-05-10 12:52:00,"1:15 2.5 roti, pitla, and totakura curry, 2 cucumbers"
2023-05-10 12:52:00,1:30 done
2023-05-10 12:55:00,12:55 sweet saunf
2023-05-10 12:55:00,Correction: 12:15 Done at 12:30
2023-05-10 14:39:00,https://youtu.be/336fjAmY8JQ
2023-05-10 15:48:00,"3:45 pm costco samples nutzo bread 3 pcs, 1 tortilla chips and salsa"
2023-05-10 16:55:00,"4:35 pm 2 sourdough slices, cheese avocado 1 large Hummus Pickle 2 cucumbers 4 thin addictive wafers Walnuts"
2023-05-10 16:56:00,Done at 4:54
2023-05-10 16:57:00,Spinach and raspberries
2023-05-11 08:36:00,8:36 chai
2023-05-11 08:38:00,8:38 pumpkin seeds crisp bread
2023-05-11 08:39:00,IMG-20230511-WA0001.jpg (file attached)
2023-05-11 08:39:00,And cheese
2023-05-11 08:39:00,1/2 slice each
2023-05-11 09:26:00,IMG-20230511-WA0003.jpg (file attached)
2023-05-11 09:26:00,9:26 Avocado toast
2023-05-11 09:40:00,9:35pm done
2023-05-11 09:41:00,Am correction
2023-05-11 11:49:00,Babak treadmill test
2023-05-11 11:50:00,Aorta at 43mm Chances of bursting 2-3/1000 control BP Lose weight Keep glucose in check
2023-05-11 12:50:00,12:50 Tempe (soy fermented) 1 small block
2023-05-11 12:57:00,12:57 crackers and cheese and carrots
2023-05-11 12:58:00,Cappuccino
2023-05-11 13:01:00,Cinnamon cookie
2023-05-11 13:04:00,Done
2023-05-11 14:26:00,"2:25pm potato soup, tempe blocks, peas"
2023-05-11 14:56:00,"2 bowls of the above, with Walnuts and crackers"
2023-05-11 14:57:00,Gapes 6 and Walnuts
2023-05-12 08:37:00,8:35 chai
2023-05-12 10:14:00,10:13 Avocado toast
2023-05-12 10:23:00,"Cucumbers, cheese, Walnuts, Avocado, hummus"
2023-05-12 10:23:00,Done
2023-05-12 11:38:00,11:38 cappuccino
2023-05-12 11:47:00,Done
2023-05-12 12:57:00,"12:45 pm Lunch Small Rice,  spinach dal, carrot cucumber salad, curd, tempe 5 blocks small"
2023-05-12 12:57:00,12:55 done
2023-05-12 12:57:00,Are in limit #experiment
2023-05-12 17:16:00,"4:55 pm Avocado toast Nutzo, bread, pickled cucumbers, cheese, Walnuts  Grapes 1 bowl Cheese 3 thin addictives Walnuts"
2023-05-12 17:18:00,Almond slices
2023-05-12 17:18:00,Done
2023-05-12 19:27:00,"Feeling tired and low energy between 6:30ish and 7:30 Ate stomach full, grapes i guess did this"
2023-05-12 19:31:00,"Exercise may have had influence too, relatively inactive day"
2023-05-12 19:32:00,Thin addictive too?
2023-05-13 07:19:00,Espresso black
2023-05-13 09:21:00,Chai
2023-05-13 09:27:00,Done
2023-05-13 09:35:00,IMG-20230513-WA0004.jpg (file attached)
2023-05-13 09:35:00,Oat meal with berries and nuts
2023-05-13 09:35:00,Nutzo 9:35
2023-05-13 09:46:00,Done
2023-05-13 10:38:00,10:38 espresso
2023-05-13 10:38:00,Looks like oats is killer
2023-05-13 12:51:00,12:50 orange
2023-05-13 13:38:00,"1:10 rice,  palak dal, ghee 4 cucumbers Capsicum aloo curry Curd Butter milk Sweet saunf Done: 1:40"
2023-05-13 13:40:00,"1 papad urad, challa mirchi 5"
2023-05-13 14:34:00,"#mood Felt low energy, just sat at one place"
2023-05-13 14:35:00,Feeling a little better now
2023-05-13 15:11:00,#insight walk after eating rice and dal?
2023-05-13 16:06:00,Feeling tired again and sleepy
2023-05-13 17:06:00,"4:46 Avocado toast hummus, large Avocado, spinach, 2 pickle cucumbers Walnuts"
2023-05-13 17:07:00,5:06 done
2023-05-13 17:10:00,Walnuts 2 fistfuls
2023-05-13 17:10:00,Done
2023-05-13 17:12:00,1 bread and 1 pumpkin seeds crisp bread
2023-05-13 17:58:00,https://www.goodrx.com/well-being/diet-nutrition/tired-after-eating
2023-05-13 18:17:00,"# mood today has been pretty tired and fatigue since lunch, started feeling better around 4:45ish then had Avocado toast and feeling a little low again"
2023-05-14 09:11:00,9:11 chai after 16 hrs fasting
2023-05-14 10:22:00,"10:18 small bowl all of these:  rice, dal,  aloo capsicum curry 1 pumpkin crispy bread"
2023-05-14 10:43:00,10:43  cappuccino
2023-05-14 12:48:00,12:48 thai palm cake
2023-05-14 12:48:00,IMG-20230514-WA0002.jpg (file attached)
2023-05-14 12:51:00,IMG-20230514-WA0004.jpg (file attached)
2023-05-14 12:51:00,3 of these
2023-05-14 12:51:00,1 of this
2023-05-14 12:53:00,IMG-20230514-WA0006.jpg (file attached) Banana sweet rice thai
2023-05-14 13:00:00,1 full banana sweet rice 1 more Palm cake 2 khanom krok cakes
2023-05-14 13:03:00,1 more Palm cake ( total 3)
2023-05-14 13:03:00,You deleted this message
2023-05-14 13:09:00,3 jackfruit pieces Small bowl of sticky rice no mango
2023-05-14 13:12:00,Done
2023-05-14 13:19:00,1:19 boiled peanuts
2023-05-14 13:35:00,Papaya salad Done
2023-05-14 13:40:00,#insight killer food 211+ sugar
2023-05-14 17:23:00,"5:06 pani puri, ragda bhujiya"
2023-05-14 17:23:00,About 20 or so Done at 5:23
2023-05-15 08:34:00,8:34 chai
2023-05-15 09:20:00,9:20 apple
2023-05-15 10:33:00,10:33 cappuccino
2023-05-15 12:59:00,"12:50 brown rice,  palak dal and cucumber, carrot raw mango salad"
2023-05-15 13:19:00,Curd and a little chana jhor Done at 1:19
2023-05-15 13:43:00,#insight looks like rice And dal spikes no matter what
2023-05-15 13:56:00,1:56 sweet saunf
2023-05-15 14:10:00,2:09 sweet saunf
2023-05-15 16:09:00,"3:55 2 bowls of grapes, Walnuts, almond and pumpkin seeds"
2023-05-15 16:09:00,Done at 4:05
2023-05-16 08:29:00,8:29 chai
2023-05-16 08:32:00,2 digestive biscuits
2023-05-16 08:36:00,Done
2023-05-16 09:44:00,9:30 Avocado toast (amul cheese) and spinach Walnuts blueberries
2023-05-16 09:44:00,Done
2023-05-16 10:55:00,10:50 black coffee
2023-05-16 13:15:00,"1:15 pm brown rice, palak dal, cucumber salad,  buttermilk"
2023-05-16 13:31:00,1;27 done 1:30 sweet saunf Done
2023-05-16 14:58:00,2:58 sweet saunf
2023-05-16 15:04:00,3:04 multiple sweet saunf
2023-05-16 17:15:00,5:05 Avocado toast Rice and dal very small Half cinnamon cookie Pancake
2023-05-16 17:31:00,"Maple syrup Grapes bowl full, Walnuts and almond 1 thin addictive"
2023-05-16 17:33:00,Done at 5:32
2023-05-17 09:01:00,9:02 chai and bread toast
2023-05-17 09:11:00,"9:10 oat meal chia seeds, Walnuts coconut and raisins"
2023-05-17 09:12:00,Blueberries
2023-05-17 09:17:00,6 grapes Done
2023-05-17 11:04:00,Black coffee 10:30
2023-05-17 13:06:00,1:06 cocham dal
2023-05-17 13:21:00,1.5 roti Cucumber salad Capsicum aloo curry Curd Sweet saunf
2023-05-17 13:21:00,1:23 done
2023-05-17 13:28:00,1:28 more sweet saunfs
2023-05-17 16:14:00,"4:05 dal cocum, 1 roti, salad,  Walnuts, Graphs, chana jhor"
2023-05-17 16:17:00,Thin addictive 2
2023-05-17 16:19:00,Done
2023-05-18 08:16:00,"7 am black coffee 8:10am chai, 2 toasted beads,  hummus and doing oil 1 digestive biscuit"
2023-05-18 08:17:00,8:15 done
2023-05-18 11:36:00,11:36 lemon rice
2023-05-18 11:45:00,1 puri aloo curry
2023-05-18 11:45:00,11:45 done
2023-05-18 12:10:00,12:10 chole puri ricee
2023-05-18 12:24:00,"1.5 puri Rice, chole, curd, chana jhor  12:25 done"
2023-05-18 13:13:00,1:09 jack fruit slices 4
2023-05-18 13:13:00,1:14 sweet saunf Done
2023-05-18 13:25:00,More sweet saunfs 1:25 done
2023-05-18 14:12:00,2:05 jack fruits 3 slice
2023-05-18 14:12:00,2:10 done
2023-05-18 17:36:00,"5:35 Veggie burrito bowl, chips and salsa lax airport"
2023-05-18 18:04:00,Ate more chips 6:03 done.
2023-05-19 10:06:00,10:06 chai jaggery
2023-05-19 10:55:00,10:55 orange
2023-05-19 12:03:00,12:03 instant coffee milk
2023-05-19 12:03:00,# Vancouver
2023-05-19 12:12:00,12:10 mixed nuts
2023-05-19 13:54:00,"1:40 light meal rice, dal,  puri chole, okra bean curry,  aloo curry 1:52 done"
2023-05-19 15:46:00,3:40 instant coffee milk 3:45 done
2023-05-19 16:28:00,4:20 chai with very little jaggery 4:27 done
2023-05-19 16:57:00,4:56 1 small almond cluster cookie
2023-05-19 19:20:00,"7 pm mini samosa, Lots of spicy peanuts 7:20 done"
2023-05-19 22:24:00,"10:06 Chutneys veggie bowl ( veggies,  chole,  turmeric rice) Rice, dal, curd and pickle 10:24 done"
2023-05-20 10:00:00,9:50 chai Fistful almonds Peanuts
2023-05-20 10:00:00,10:04 Done
2023-05-20 10:47:00,10:47 fistful peanuts
2023-05-20 10:57:00,10:57 black coffee
2023-05-20 11:01:00,11 am almond cookie large
2023-05-20 11:02:00,Peanuts
2023-05-20 11:08:00,3 idlis allam chutney
2023-05-20 11:26:00,11:26 magayi annam
2023-05-20 11:29:00,Chana and peanuts
2023-05-20 11:43:00,11:37 done
2023-05-20 16:27:00,3:40 3 fistful of masala roasted chana
2023-05-20 16:36:00,4:36 veg pulav chana home made
2023-05-20 16:54:00,"#forgot to wear watch Did a similar trip like yesterday, but more intense"
2023-05-20 17:11:00,3 Cucumbers 5 pm Done
2023-05-20 17:22:00,5:22 half coffee cookie
2023-05-20 18:32:00,6:27 small coffee chocolate bar
2023-05-20 19:18:00,7:06 mixed nuts 2 slices of guava Doritos 1 bowl 1 almond cookie large
2023-05-20 19:23:00,Mixed nuts 6 fistful overall 7:23 done
2023-05-20 19:30:00,1 cucumber
2023-05-21 10:33:00,9:40 chai bellam
2023-05-21 10:33:00,10:33 idli pappu charu
2023-05-21 10:38:00,3 idlis in total 10:38
2023-05-21 10:38:00,Done
2023-05-21 11:00:00,11 instant black coffee
2023-05-21 11:52:00,11:52 instant milk coffee
2023-05-21 12:04:00,12:03 bellam ava rice Dosa Peanut chutney
2023-05-21 12:10:00,12:09 mango panakam 1 small cup
2023-05-21 12:12:00,Done 12:10
2023-05-21 13:13:00,1:13 banana
2023-05-21 16:39:00,#super hungry
2023-05-21 17:11:00,"4:45 corn boiled, 3.5 roti cabbage curry, doritos 1 bowl Plantain chips Nuts 1 large cookie"
2023-05-21 17:17:00,1 large almond toffee cluster
2023-05-21 17:22:00,1 granola cluster More chocolate
2023-05-21 17:26:00,5:22 done
2023-05-21 21:25:00,"9 pm chat, half burger and other pani puri, sweet saunf"
2023-05-21 21:25:00,9:25 done
2023-05-22 08:57:00,8:57 chai
2023-05-22 09:06:00,9:06 done
2023-05-22 10:17:00,10:16 banana
2023-05-22 11:21:00,11:21 instant milk coffee
2023-05-22 12:05:00,12:04 fruit and nut smoothie
2023-05-22 13:15:00,1:15 small fruit and nut smoothie
2023-05-22 13:47:00,"1:27 rice,  squash chana flour curry, buttermilk, pickle"
2023-05-22 13:48:00,1:45 done
2023-05-22 15:32:00,3:32 fistful nuts
2023-05-22 15:44:00,2 more fistfuls 3:44 done
2023-05-22 15:54:00,3:54 chai
2023-05-22 16:16:00,4:15 fistful nuts
2023-05-22 23:21:00,Low glucose alert in late evening today
2023-05-22 23:21:00,Was feeling hungry
2023-05-23 00:02:00,Repeat alarms eating a fruit
2023-05-23 00:12:00,2 oat bars and 1 apricot
2023-05-23 08:36:00,8:35 chai bread peanut butter
2023-05-23 08:43:00,8:40 Fistful nuts Coconut tart muffin half
2023-05-23 08:43:00,8:43 done
2023-05-23 10:04:00,10:03 upma spicy peanuts curd
2023-05-23 10:26:00,10:15 done
2023-05-23 10:26:00,10:26 milk coffee instant
2023-05-23 13:08:00,1:07 coconut tart muffin 1/3
2023-05-23 13:22:00,"1/2 roti, avakaya Aloo paratha Upma small bowl, curd 1:21"
2023-05-23 13:22:00,Done 1:21
2023-05-23 16:00:00,"3:35 1/2 roti, bhindi bhaji Bisibele bhath spicypeanuts Curd 3:50 sweet saunfs 4 pm done"
2023-05-23 16:04:00,4:04 watermelon
2023-05-23 16:04:00,🍉
2023-05-23 17:50:00,5:50 chai
2023-05-23 17:55:00,Karachi biscuit
2023-05-23 20:48:00,8:35 2 bread Avocado and moong sprouts Peanut butter
2023-05-23 20:49:00,Pomegranate juice
2023-05-23 20:54:00,8:52 upma moong sprouts
2023-05-23 21:31:00,"9:10 bisi belebhath, curd,  rasam, bhundi bhaji 3 servings  9:25 done"
2023-05-23 22:32:00,#insight walking seems to do wonders
2023-05-24 08:22:00,8:22 chai 2 Britannia toast
2023-05-24 09:17:00,9:15 1/2 banana
2023-05-24 09:19:00,9:18 fistful of roasted almonds
2023-05-24 09:44:00,9:44 coffee instant with milk
2023-05-24 12:35:00,"12:26 chole, rice,  pickle,  curd"
2023-05-24 12:35:00,12:35 done
2023-05-24 13:33:00,#chole is crazy or my Forte is stressing me out
2023-05-24 13:33:00,220 glucose crazy
2023-05-24 13:35:00,Or is it due to no Fibre?
2023-05-24 14:17:00,2:17 coconut chikki sweet
2023-05-24 14:18:00,Fistful of mixed nuts
2023-05-24 14:20:00,Sweet saunf
2023-05-24 15:50:00,3:50 plum
2023-05-24 16:08:00,3:55 brown bread peanut butter Avocado Moong sprouts
2023-05-24 16:10:00,Fistful mixed nuts
2023-05-24 16:12:00,Fistful nuts mixed
2023-05-24 16:14:00,Fistful spicy peanut
2023-05-24 16:28:00,4:25 chai 2 toasts
2023-05-24 16:32:00,4:30 done
2023-05-24 18:16:00,6:15 apricot
2023-05-24 18:56:00,6:55 fistful mixed nuts
2023-05-24 19:46:00,7:45 chintakaya pickle rice
2023-05-24 20:01:00,7:50 strawberry
2023-05-24 20:02:00,"8:04 chat corn, sev, chole, onions, tomatoes, cucumbers"
2023-05-24 20:07:00,Samosa
2023-05-24 20:17:00,8:16 done
2023-05-24 20:18:00,8:18 coconut barfi
2023-05-24 20:20:00,8:20 done
2023-05-25 08:56:00,8:56 chai
2023-05-25 08:56:00,Jaggery
2023-05-25 09:01:00,2 ruska
2023-05-25 09:03:00,1 karachi cookie
2023-05-25 09:27:00,"9:15 Avocado bread, peanut butter, Moong sprouts Pom juice small"
2023-05-25 09:27:00,9:25 done
2023-05-25 10:28:00,10:28 instant milk coffee
2023-05-25 11:15:00,11:15 small bowl poha and boondi
2023-05-25 11:52:00,"11:37 poha , curd, boondi and bujiya Curd rice pickle"
2023-05-25 11:52:00,11:51 done
2023-05-25 11:53:00,Sweet saunf
2023-05-25 13:42:00,1:30 half plum
2023-05-25 15:17:00,"3 pm rice, chikkudukaya curry,  pickle,  curd"
2023-05-25 15:17:00,Sweet saunf
2023-05-25 15:17:00,3:17 done
2023-05-25 16:08:00,4:08 fistful nuts mixed
2023-05-25 17:10:00,5:10 chai toast
2023-05-25 17:12:00,2 toasts
2023-05-25 19:31:00,7:30 mirchi bajji
2023-05-25 20:11:00,7:35 biryani
2023-05-25 20:11:00,8:05 gulabi puvvulu sweet
2023-05-25 20:16:00,8:15 mixed nuts a fistful
2023-05-26 09:00:00,8:58 chai 2 toasts
2023-05-26 09:37:00,9:37 carrots
2023-05-26 10:28:00,10:15 utappam
2023-05-26 10:29:00,10:25 done
2023-05-26 11:58:00,11:50 1/2 banana and almonds
2023-05-26 12:56:00,12:56 plum
2023-05-26 13:39:00,"1:20 pm rice, palak dal, curd, lemon rice Mixed nuts 1:39 done"
2023-05-26 13:48:00,1:48 sweet saunf
2023-05-26 16:35:00,4:35 plum mixed nuts
2023-05-26 16:39:00,4:38 small bowl lemon rice and spicy peanuts 3 small chocolate cookie
2023-05-26 16:44:00,Chocolate toffee clusters 3 and almonds
2023-05-26 18:11:00,6:10 chai 2 rusks
2023-05-26 20:25:00,8:15 2 mini donuts Medium bowl fries
2023-05-26 20:26:00,Potato fries
2023-05-26 22:00:00,"9:35 chole batura, a little bit of chowmein and samosa chat 9:50 Done"
2023-05-27 09:53:00,9:53 chsi
2023-05-27 11:09:00,"11:05 avocado bread toast, moong sprouts, lettuce"
2023-05-27 11:14:00,2 fistful moong sprouts
2023-05-27 11:20:00,11:20 fistful nuts
2023-05-27 11:33:00,11:30 coffee instant milk with bread and peanut butter
2023-05-27 12:55:00,12:55 banana
2023-05-27 13:43:00,1:35 coffee instant milk
2023-05-27 15:37:00,3:37 yellow chili restaurant
2023-05-27 16:27:00,Paneer starters Hara bara kabab Kulcha naan Biryani Dal Saag 4:15
2023-05-27 16:36:00,4:31 mixed desserts
2023-05-27 16:46:00,4:45 sweet saunfs
2023-05-27 17:14:00,5:10 jalebi 2
2023-05-27 18:18:00,6:18 chai
2023-05-27 21:08:00,9:02 jalebi 5 pieces 1 fistful nuts
2023-05-27 21:38:00,9:30 Maggie with some veggies
2023-05-27 21:38:00,9:38 done
2023-05-28 08:57:00,8:45 cappuccino
2023-05-28 10:13:00,10:13 half croissant
2023-05-28 10:26:00,10:25 a little bit of humus bread sticks cheese cracker
2023-05-28 10:43:00,More cheese cracker and apricot
2023-05-28 10:47:00,10:45 Orange juice
2023-05-28 11:36:00,11:34 humus crackers
2023-05-28 11:56:00,11:55 half roti hummus
2023-05-28 11:56:00,Apple 1/2
2023-05-28 14:48:00,"2:30 3.5 roti, aloo curry,  pickle, chana jhor 3 thin addictive"
2023-05-28 14:50:00,2:50 done
2023-05-28 14:50:00,Nuts Walnuts
2023-05-28 16:31:00,4:25 chai 2 rusks
2023-05-28 19:33:00,Sensor stopped working
2023-05-28 21:04:00,Binge eating continuously Till 9 pm
2023-05-28 21:04:00,From 7:33pm
2023-05-29 19:53:00,####Restarting logging
2023-05-29 19:53:00,"Mixed nuts, raisins, challa pulusu"
2023-05-29 19:54:00,Shredded coconut
2023-05-29 20:17:00,"4 fistula of almonds, Walnuts and raisins 2 tbsp nutzo, and 1 small bowl of carrots 2 cups of challa pulusu 8:16"
2023-05-29 20:18:00,8:16 done
2023-05-30 08:17:00,8:17 chai
2023-05-30 08:31:00,8:30 3 idlis with allam chutney and curd
2023-05-30 08:36:00,8:36 done
2023-05-30 10:35:00,10:35 cappuccino
2023-05-30 11:44:00,11:44 1/2 idli ghee and chutney powder
2023-05-30 11:51:00,"11:50 almonds, Walnuts raisins also bowl"
2023-05-30 13:14:00,1:10 1 roti and bhindi bhaji
